Kode_1;Kode_2;Kode_3;lb.nr.;Analyse dato CN;N%;C%;CN_ratio;Analyse dato pH;pH;Analyse dato ICP MS;B;Na;Mg;Al;P;S;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Sr;Mo;Cd;Ba;Tl;Pb
CG dung;CG ;Dung;19073;4-10-2024;2.837;39.454;13.9;;6.90;4-11-2024;29.04671734;134.4262925;3284.561029;937.4942384;7605.00005;3710.741149;1228.935745;21118.37995;3.368012895;222.3614214;1061.776003;2589.469255;0.930328812;7.479029543;29.19895447;163.2592738;0.458459117;0.322607584;88.67426494;9.247323178;1.018611082;125.6214105;0.036628315;1.75244194
HG dung;HG ;Dung;19074;4-10-2024;2.602;41.614;16.0;;6.48;4-11-2024;32.42210753;230.6067825;2702.500127;742.8402381;3663.389529;2654.147821;4842.874878;6404.074379;3.447190506;210.2503251;1082.663388;2270.838291;0.689607541;6.937874547;21.08047755;110.6929709;0.372801173;0.190450741;52.12981278;8.468184759;0.67897452;75.5102881;0.02794097;1.961407504
HOD dung;HOD;Dung;19075;4-10-2024;1.737;36.944;21.3;;6.21;4-11-2024;29.04543793;280.2293336;1785.338006;1079.741121;3962.229141;1938.836189;4110.164947;5971.086691;5.694270354;594.1977835;828.3701668;4969.55046;1.463969037;17.12082394;18.05639479;102.2161148;0.628840485;0.166444862;56.64970812;14.23399561;0.419459987;73.81581973;0.026429244;2.06350255
COD dung;COD;Dung;19076;4-10-2024;2.404;40.662;16.9;;7.31;4-11-2024;33.06096975;582.7386771;4463.452806;678.1435296;7687.038087;3294.465742;3160.389214;24200.70522;2.90960706;170.3373626;1086.311353;2002.976378;0.808057524;9.901696713;22.62645747;143.8620453;0.403235373;0.265930221;99.79143895;9.583671036;1.050667058;118.9907829;0.037956367;1.714714612
HND dung;HND;Dung;19077;4-10-2024;1.875;44.271;23.6;;6.46;4-11-2024;28.94666152;1094.619522;2311.830428;497.8442008;7065.763003;2293.646713;10319.34217;6047.585291;2.7709775;372.902525;951.5934107;2887.586556;0.840151135;9.080634388;21.49047879;104.2402138;0.327973598;0.2104619;51.85904233;11.19168218;0.526436778;76.78583258;0.015681334;1.140150031
CND dung;CND;Dung;19078;4-10-2024;2.631;43.959;16.7;;7.53;4-11-2024;30.6411749;1428.034277;4066.495828;265.639792;9843.351527;3371.999987;6447.048146;20771.4506;1.151815627;70.11389835;1039.526013;908.8738944;0.452148127;6.112145665;22.22642557;126.9335652;0.192911766;0.168938763;90.74834478;8.845307305;0.846285731;109.9857526;0.037532279;0.828813318
CG1_F;Grass;;19079;4-10-2024;1.344;44.284;33.0;;;4-11-2024;16.515376;140.9873914;1327.935978;108.5789722;2436.988658;1560.491768;15660.97194;3772.514854;0.965605017;201.4794233;396.9870349;1434.878667;0.29439779;2.924594442;5.045790871;45.03449524;0.129871169;0.062067504;17.01386045;6.657349666;0.257061003;16.47573176;0.003541879;0.314025588
CG1_C;Grass;;19080;4-10-2024;1.779;44.277;24.9;;;4-11-2024;16.35722297;83.13705308;1449.718731;24.8237382;3377.634705;1665.374963;19793.09309;3217.059734;0.555556927;96.13340652;338.7526048;689.72877;0.155473667;2.060214468;5.236255582;38.95619656;0.062243671;0.0580655;14.58118148;6.454259896;0.118444414;11.17875442;0.003322685;0.118585611
HG1_F;Grass;;19081;4-10-2024;1.813;43.532;24.0;;;4-11-2024;14.80292349;303.0306747;1148.026561;41.84101657;3296.353419;1616.099739;25702.82946;2081.6523;0.648959432;116.4361326;318.213033;842.6125044;0.204440707;2.475666314;5.228527099;35.98666564;0.086827372;0.064927751;10.28825146;4.410221358;0.22523744;9.765030066;0.003039774;0.114639665
HG1_C;Grass;;19082;4-10-2024;1.490;43.923;29.5;;;4-11-2024;15.52048201;97.08337323;1525.051741;44.16421823;3184.009811;1616.406408;17134.66796;3648.203523;0.520689016;94.67951787;542.2032047;696.8582074;0.153690123;2.312704454;5.286422916;39.76324785;0.052690993;0.011101266;16.96913371;5.707982936;0.206799098;13.72131394;0.002613671;0.153757776
