UniqueID,dung_area_cm2,SWC_%,S_temp
HG1_F_NEE_13jun,660,21,14.9
HG1_F_RE_13jun,660,21,14.9
HG1_C_NEE_13jun,0,18.2,14.9
HG1_C_RE_13jun,0,18.2,14.9
CG1_F_NEE_13jun,598,14.3,15.3
CG1_F_RE_13jun,598,14.3,15.3
CG1_C_NEE_13jun,0,19.1,15.3
CG1_C_RE_13jun,0,19.1,15.3
HG2_F_NEE_13jun,336,22.9,15.1
HG2_F_RE_13jun,336,22.9,15.1
HG2_C_NEE_13jun,0,17.1,15.6
HG2_C_RE_13jun,0,17.1,15.6
CG2_F_NEE_13jun,529,24.7,16.1
CG2_F_RE_13jun,529,24.7,16.1
CG2_C_NEE_13jun,0,26.5,16.3
CG2_C_RE_13jun,0,26.5,16.3
HG3_F_NEE_13jun,500,23.9,16
HG3_F_RE_13jun,500,23.9,16
HG3_C_NEE_13jun,0,23.2,17.1
HG3_C_RE_13jun,0,23.2,17.1
CG3_F_NEE_13jun,143,23.9,17.1
CG3_F_RE_13jun,143,23.9,17.1
CG3_C_NEE_13jun,0,25.6,17.2
CG3_C_RE_13jun,0,25.6,17.2
HG4_F_NEE_14jun,380,27.6,14.4
HG4_F_RE_14jun,380,27.6,14.4
HG4_C_NEE_14jun,0,29.8,14.8
HG4_C_RE_14jun,0,29.8,14.8
CG4_F_NEE_14jun,1386,28.2,15.5
CG4_F_RE_14jun,1386,28.2,15.9
CG4_C_NEE_14jun,0,34,15.6
CG4_C_RE_14jun,0,34,15.6
HG5_F_NEE_14jun,810,24.5,15.8
HG5_F_RE_14jun,810,24.5,15.8
HG5_C_NEE_14jun,0,27.3,16
HG5_C_RE_14jun,0,27.3,16
CG5_F_NEE_14jun,399,29,16.4
CG5_F_RE_14jun,399,29,16.4
CG5_C_NEE_14jun,0,31.1,16.9
CG5_C_RE_14jun,0,31.1,16.9
HD1_F_NEE_15jul,812,33,18.9
HD1_F_RE_15jul,812,33,18.9
HD1_C_NEE_15jul,0,32.8,20.1
HD1_C_RE_15jul,0,32.8,20.1
CD1_F_NEE_15jul,1023,36.6,20.5
CD1_F_RE_15jul,1023,36.6,20.5
CD1_C_NEE_15jul,0,31,19.9
CD1_C_RE_15jul,0,31,19.9
HD2_F_NEE_15jul,682,30.3,19.1
HD2_F_RE_15jul,682,30.3,19.1
HD2_C_NEE_15jul,0,31.4,20
HD2_C_RE_15jul,0,31.4,20
CD2_F_NEE_15jul,638,35.6,19.4
CD2_F_RE_15jul,638,35.6,19.4
CD2_C_NEE_15jul,0,31,20.3
CD2_C_RE_15jul,0,31,20.3
HD1_F_NEE_16jul,812,27.8,17.1
HD1_F_RE_16jul,812,27.8,17.1
HD1_C_NEE_16jul,0,31,17.2
HD1_C_RE_16jul,0,31,17.2
CD1_F_NEE_16jul,1023,31,18.4
CD1_F_RE_16jul,1023,31,18.4
CD1_C_NEE_16jul,0,28.6,18.4
CD1_C_RE_16jul,0,28.6,18.4
HD2_F_NEE_16jul,682,27.4,17.7
HD2_F_RE_16jul,682,27.4,17.7
HD2_C_NEE_16jul,0,26.6,18.3
HD2_C_RE_16jul,0,26.6,18.3
CD2_F_NEE_16jul,638,41,18.6
CD2_F_RE_16jul,638,41,18.6
CD2_C_NEE_16jul,0,34.9,19.1
CD2_C_RE_16jul,0,34.9,19.1
HD1_F_NEE_17jul,812,34,17.4
HD1_F_RE_17jul,812,34,17.4
HD1_C_NEE_17jul,0,30.3,17.5
HD1_C_RE_17jul,0,30.3,17.5
CD1_F_NEE_17jul,1023,34.5,19.2
CD1_F_RE_17jul,1023,34.5,19.2
CD1_C_NEE_17jul,0,30.4,18.7
CD1_C_RE_17jul,0,30.4,18.7
HD2_F_NEE_17jul,682,30.8,17.7
HD2_F_RE_17jul,682,30.8,17.7
HD2_C_NEE_17jul,0,28,19.4
HD2_C_RE_17jul,0,28,19.4
CD2_F_NEE_17jul,638,30.5,19.3
CD2_F_RE_17jul,638,30.5,19.3
CD2_C_NEE_17jul,0,30,21.4
CD2_C_RE_17jul,0,30,21.4
HD1_F_NEE_18jul,812,24.1,17.4
HD1_F_RE_18jul,812,24.1,17.4
HD1_C_NEE_18jul,0,27.6,17.5
HD1_C_RE_18jul,0,27.6,17.5
CD1_F_NEE_18jul,1023,32.8,19.4
CD1_F_RE_18jul,1023,32.8,19.4
CD1_C_NEE_18jul,0,28.3,18.7
CD1_C_RE_18jul,0,28.3,18.7
HD2_F_NEE_18jul,682,26.6,17.9
HD2_F_RE_18jul,682,26.6,17.9
HD2_C_NEE_18jul,0,24,18.9
HD2_C_RE_18jul,0,24,18.9
CD2_F_NEE_18jul,638,29.2,18.7
CD2_F_RE_18jul,638,29.2,18.7
CD2_C_NEE_18jul,0,25,21.1
CD2_C_RE_18jul,0,25,21.1
HD1_F_NEE_19jul,812,23.2,17.7
HD1_F_RE_19jul,812,23.2,17.7
HD1_C_NEE_19jul,0,27.3,18.3
HD1_C_RE_19jul,0,27.3,18.3
CD1_F_NEE_19jul,1023,27.3,19.1
CD1_F_RE_19jul,1023,27.3,19.1
CD1_C_NEE_19jul,0,21.2,23.7
