plotID,base_code,sample_type,labID,bulk_density,pH,PO4-P,Analyse dato CN,TN,TC,CN_ratio
CG1_F,CG1,Fresh,40807,1.08,4.7,156.2223147,23-9-2024,0.184,2.511,13.64815447
CG1_C,CG1,Control,40808,1.11,5.01,162.0326087,23-9-2024,0.221,3.157,14.27076541
CG1 dung soil,CG1,Dung soil,40809,0.7,5.49,234.8653846,23-9-2024,0.35,5.221,14.90640653
HG1_F,HG1,Fresh,40810,0.72,5.01,163.8159867,23-9-2024,0.266,3.804,14.32788381
HG1_C,HG1,Control,40811,0.69,4.73,106.1795511,23-9-2024,0.242,3.384,14.00162369
HG1 dung soil,HG1,Dung soil,40812,0.53,5.71,283.43,23-9-2024,0.384,6.103,15.91330116
CG2_F,CG2,Fresh,40813,1.37,4.92,123.8592839,23-9-2024,0.212,2.798,13.20889824
CG2_C,CG2,Control,40814,1.24,4.59,94.73710483,23-9-2024,0.204,2.691,13.2186258
HG2_C,HG2,Control,40816,1.2,4.55,116.7293233,23-9-2024,0.192,2.663,13.84464293
HG2_F,HG2,Fresh,40817,1.12,5.18,125.9276808,23-9-2024,0.242,3.069,12.69486681
CG3_F,CG3,Fresh,40819,1.38,5,77.62781016,23-9-2024,0.184,2.213,11.99570785
CG3_C,CG3,Control,40820,1.47,5.04,54.11221945,23-9-2024,0.186,2.311,12.4194345
CG3 dung soil,CG3,Dung soil,40821,0.92,5.18,63.1680602,23-9-2024,0.248,3.23,13.01212475
HG3_F,HG3,Fresh,40822,1.1,5.17,112.3647746,23-9-2024,0.209,2.668,12.78938659
HG3_C,HG3,Control,40823,1.36,4.44,81.62406015,23-9-2024,0.177,2.233,12.6379324
HG3 dung soil,HG3,Dung soil,40824,0.78,5.67,196.5963303,23-9-2024,0.26,3.429,13.18942698
CG4_F,CG4,Fresh,40825,1.11,4.55,119.73,23-9-2024,0.223,2.535,11.37258283
CG4_C,CG4,Control,40826,1.07,4.65,93.34778982,23-9-2024,0.212,2.759,12.98957172
HG4_F,HG4,Fresh,40828,1.23,4.46,93.9275,23-9-2024,0.174,2.329,13.39522325
HG4_C,HG4,Control,40829,1.22,4.87,104.5346122,23-9-2024,0.225,3.13,13.92617335
CG5_F,CG5,Fresh,40831,1.2,4.52,51.59299416,23-9-2024,0.219,2.814,12.83889105
CG5_C,CG5,Control,40832,1.15,4.58,69.075,23-9-2024,0.218,2.8,12.86904128
CG5 dung soil,CG5,Dung soil,40833,0.92,5.62,107.206177,23-9-2024,0.291,3.752,12.89922451
HG5_F,HG5,Fresh,40834,0.95,5.84,139.5261845,23-9-2024,0.295,3.868,13.12998739
HG5_C,HG5,Control,40835,0.92,4.93,91.64799331,23-9-2024,0.315,4.435,14.07858478
HG5 dung soil,HG5,Dung soil,40836,0.72,5.84,148.7075,23-9-2024,0.323,4.143,12.81482198
HD1_F,HD1,Fresh,40837,1.06,5.35,145.6857855,23-9-2024,0.253,3.248,12.84833911
HD1_C,HD1,Control,40838,1.33,5.05,142.6327212,23-9-2024,0.168,2.07,12.31960774
HD1 dung soil,HD1,Dung soil,40839,1.08,5.74,363.029975,23-9-2024,0.211,2.676,12.68262147
CD1_F,CD1,Fresh,40840,1.32,5.42,120.4239401,23-9-2024,0.204,2.401,11.78577429
CD1_C,CD1,Control,40841,1.08,4.46,62.39199333,23-9-2024,0.242,3.365,13.92504023
CD1 dung soil,CD1,Dung soil,40842,1.3,5.05,132.0722591,23-9-2024,0.226,2.626,11.61819593
HD2_F,HD2,Fresh,40843,0.87,5.03,133.8818636,23-9-2024,0.266,3.574,13.44173488
HD2_C,HD2,Control,40844,1.04,4.79,100.390183,23-9-2024,0.234,3.191,13.60894843
HD2 dung soil,HD2,Dung soil,40845,0.74,5.24,200.2293578,23-9-2024,0.266,3.428,12.89517793
CD2_F,CD2,Fresh,40846,0.82,4.92,111.957606,23-9-2024,0.309,4.124,13.35768744
CD2_C,CD2,Control,40847,4.79,4.69,73.00585284,23-9-2024,0.2,2.44,12.21172499
CD2 dung soil,CD2,Dung soil,40848,0.86,5.72,203.5033278,23-9-2024,0.31,4.114,13.26722391
HD3_F,HD3,Fresh,40849,1.05,4.92,109.0291424,23-9-2024,0.211,2.689,12.74015593
HD3_C,HD3,Control,40850,0.97,4.44,78.59348915,23-9-2024,0.227,3.2,14.11462654
