"","Projektnavn","Alias","Projekt ini.","Lokalitet","Art","Prøvetype","Indsamlingsdato","Kode_1","Kode 2","Kode 3","Kode 4","Kode 5","lb.nr.","Analyse dato CN","N%","C%","CN_ratio","Analyse dato pH","pH_ CaCl2","i H2O","Acidetet Cmol(+)  /kg","CEC Cmol(+)  /kg","g...23","g...24","Note","NH4NO3...26","NH4NO3...27","NH4NO3...28","NH4NO3...29","NH4NO3...30","NH4NO3...31","NH4NO3...32","1000 nåle/blade(vægt af 1000 nåle/blade i g) 55°C","1000 nåle/blade(vægt af 1000 nåle/blade i g) 105°C","Analyse dato pHe","pHe"
"1","WildSoil",NA,"FNP/LAV","Mols",NA,"dung",NA,"CG dung","CG","Dung",NA,NA,19073,2024-10-04,2.83719301223755,39.4541816711426,13.9060619073029,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","WildSoil",NA,"FNP/LAV","Mols",NA,"dung",NA,"HG dung","HG","Dung",NA,NA,19074,2024-10-04,2.60235476493835,41.6137390136719,15.990801705569,NA,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","WildSoil",NA,"FNP/LAV","Mols",NA,"dung",NA,"HOD dung","HOD","Dung",NA,NA,19075,2024-10-04,1.73711538314819,36.9443588256836,21.2676481850785,NA,6.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","WildSoil",NA,"FNP/LAV","Mols",NA,"dung",NA,"COD dung","COD","Dung",NA,NA,19076,2024-10-04,2.40419268608093,40.6621055603027,16.9129977791364,NA,7.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","WildSoil",NA,"FNP/LAV","Mols",NA,"dung",NA,"HND dung","HND","Dung",NA,NA,19077,2024-10-04,1.87493550777435,44.2708053588867,23.6119083431507,NA,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WildSoil",NA,"FNP/LAV","Mols",NA,"dung",NA,"CND dung","CND","Dung",NA,NA,19078,2024-10-04,2.63132786750793,43.9586372375488,16.7058760637005,NA,7.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG1_F","Grass",NA,NA,NA,19079,2024-10-04,1.34389913082123,44.2842254638672,32.9520456172972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG1_C","Grass",NA,NA,NA,19080,2024-10-04,1.77885389328003,44.2772789001465,24.8909025454044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG1_F","Grass",NA,NA,NA,19081,2024-10-04,1.81309401988983,43.5321311950684,24.0098586821844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG1_C","Grass",NA,NA,NA,19082,2024-10-04,1.48958730697632,43.9229164123535,29.486634456836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG2_F","Grass",NA,NA,NA,19083,2024-10-04,2.12727165222168,41.8230514526367,19.6604187382263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG2_C","Grass",NA,NA,NA,19084,2024-10-04,1.54999673366547,42.8548622131348,27.6483564657524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG2_C","Grass",NA,NA,NA,19085,2024-10-04,1.55786228179932,43.4236030578613,27.8738394049231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG2_F","Grass",NA,NA,NA,19086,2024-10-04,1.84672045707703,42.8434677124023,23.1997580078874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG3_F","Grass",NA,NA,NA,19087,2024-10-04,1.79331970214844,42.7255821228027,23.82485513967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG3_C","Grass",NA,NA,NA,19088,2024-10-04,1.60099685192108,42.4623718261719,26.5224580393273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG3_F","Grass",NA,NA,NA,19089,2024-10-04,1.66731953620911,42.8681449890137,25.7108155083941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG3_C","Grass",NA,NA,NA,19090,2024-10-04,1.6742035150528,43.2264137268066,25.8190914892706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG4_F","Grass",NA,NA,NA,19091,2024-10-04,2.28923225402832,42.578483581543,18.5994599309958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"CG4_C","Grass",NA,NA,NA,19092,2024-10-04,2.52068376541138,42.4735870361328,16.8500260203013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","WildSoil",NA,"FNP/LAV","Mols",NA,NA,NA,"HG4_F","Grass",NA,NA,NA,19093,2024-10-04,1.44156360626221,43.4522819519043,30.1424659745473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
