plot_id,veg_class,dry_weight,harvested_area,veg_height,veg_height_2
CD1_F,Bryophytes,1.444,432,2,3
CD1_F,Achillea millefolium,0.104,432,2,3
CD1_F,Dandelions and false dandelions,0.956,432,2,3
CD1_F,Pilosella officinarum,0.727,432,2,3
CD1_F,Plantago lanceolata,0.134,432,2,3
CD1_F,Rumex acetosella,0.219,432,2,3
CD1_F,Trifolium repens,0.364,432,2,3
CD1_F,Graminoids,3.535,432,2,3
CD1_C,Bryophytes,3.677,475,3,3
CD1_C,Achillea millefolium,0.431,475,3,3
CD1_C,Galium verum,0.106,475,3,3
CD1_C,Dandelions and false dandelions,0.766,475,3,3
CD1_C,Pilosella officinarum,1.165,475,3,3
CD1_C,Plantago lanceolata,1.905,475,3,3
CD1_C,Rumex acetosa,0.007,475,3,3
CD1_C,Stellaria graminea,0.071,475,3,3
CD1_C,Trifolium arvense,0.107,475,3,3
CD1_C,Trifolium pratense,0.772,475,3,3
CD1_C,Trifolium repens,0.258,475,3,3
CD1_C,Graminoids,5.256,475,3,3
CD2_F,Bryophytes,0.357,492,7,11
CD2_F,Achillea millefolium,1.28,492,7,11
CD2_F,Euphrasia stricta,1.474,492,7,11
CD2_F,Dandelions and false dandelions,0.686,492,7,11
CD2_F,Pilosella officinarum,0.013,492,7,11
CD2_F,Plantago lanceolata,7.58,492,7,11
CD2_F,Rumex acetosa,0.309,492,7,11
CD2_F,Stellaria graminea,0.467,492,7,11
CD2_F,Trifolium arvense,0.188,492,7,11
CD2_F,Trifolium campestre,0.015,492,7,11
CD2_F,Trifolium pratense,3.358,492,7,11
CD2_F,Graminoids,2.181,492,7,11
CD2_C,Bryophytes,0.404,503,3,5
CD2_C,Achillea millefolium,0.101,503,3,5
CD2_C,Euphrasia stricta,0.737,503,3,5
CD2_C,Dandelions and false dandelions,0.501,503,3,5
CD2_C,Pilosella officinarum,0.071,503,3,5
CD2_C,Plantago lanceolata,3.056,503,3,5
CD2_C,Ranunculus sp.,0.003,503,3,5
CD2_C,Trifolium arvense,0.028,503,3,5
CD2_C,Graminoids,3.696,503,3,5
CD3_F,Bryophytes,0.701,447,,2
CD3_F,Achillea millefolium,0.085,447,,2
CD3_F,Dandelions and false dandelions,0.619,447,,2
CD3_F,Jacobaea vulgaris,0.096,447,,2
CD3_F,Pilosella officinarum,0.068,447,,2
CD3_F,Pimpinella saxifraga,0.019,447,,2
CD3_F,Plantago lanceolata,0.334,447,,2
CD3_F,Rosa canina,0.22,447,,2
CD3_F,Rumex acetosa,0.038,447,,2
CD3_F,Trifolium arvense,0.065,447,,2
CD3_F,Trifolium pratense,0.84,447,,2
CD3_F,Graminoids,1.036,447,,2
CD3_C,Bryophytes,2.141,433,,3
CD3_C,Achillea millefolium,0.424,433,,3
CD3_C,Euphrasia stricta,0.088,433,,3
CD3_C,Dandelions and false dandelions,0.673,433,,3
CD3_C,Pilosella officinarum,1.753,433,,3
CD3_C,Pimpinella saxifraga,0.069,433,,3
