...1,UniqueID,LM.flux,LM.C0,LM.Ct,LM.slope,LM.MAE,LM.RMSE,LM.AICc,LM.SE,LM.se.rel,LM.r2,LM.p.val,HM.flux,HM.C0,HM.Ci,HM.slope,HM.MAE,HM.RMSE,HM.AICc,HM.SE,HM.se.rel,HM.r2,HM.k,C0,Ct,MDF,prec,flux.term,nb.obs,k.max,k.mult,g.fact,HM.diagnose,LM.diagnose,best.flux,model,quality.check,HM.score,LM.score,RMSE.lim,MAE.lim,SE.lim,g.limit,g.reverse,k.ratio.lim,p.val.lim,MDF.lim,warn.nb.obs,gastype,dataset
25,CG1_C_NEE_13jun,-0.479795742,2004.273936,2000.658715,-0.027597108,0.17970406,0.223668577,-14.5764581,0.008950664,-1.865515532,0.956383358,1.64E-90,-0.583148098,2004.397641,1993.363314,-0.033541776,0.171140359,0.216952875,-20.49709689,0.040047849,-6.86752626,0.958963237,0.003039766,2004.37,2000.6919,0.079026024,0.6,17.38572524,132,0.045995181,1,1.215409073,NA,NA,-0.583148098,HM,NA,0,4,0.6,0.6,0.052223297,2,0.5,1,0.05,0.079,60,CH4,20240613_CH4
26,CG1_C_RE_13jun,-0.662059267,2005.229199,1994.387016,-0.038042748,0.384042022,0.466500369,381.5699681,0.005835056,-0.881349558,0.978339691,1.34E-238,-1.109693316,2006.317663,1989.698188,-0.063764356,0.128841955,0.164052331,-214.1547432,0.012080597,-1.088642896,0.997321291,0.003836725,2006.1703,1995.0931,0.036509863,0.6,17.40303485,286,0.06340458,1,1.676123833,NA,NA,-1.109693316,HM,NA,0,4,0.6,0.6,0.035478744,2,0.5,1,0.05,0.037,60,CH4,20240613_CH4
27,CG1_F_NEE_13jun,31.79021471,2017.525463,2230.034747,1.831976589,3.475075206,4.231556147,675.8053414,0.202742759,0.637752092,0.995303924,6.03E-136,34.59240806,2014.483494,3371.258325,1.993458751,3.203157524,4.005528426,665.1048297,0.814708037,2.355164275,0.995792205,0.001469263,2017.5172,2223.4983,0.088989534,0.6,17.35295904,117,3.053294315,1,1.088146412,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),34.59240806,HM,SE,1,3,0.6,0.6,0.05547002,2,0.5,1,0.05,0.089,60,CH4,20240613_CH4
28,CG1_F_RE_13jun,26.25146696,2090.237224,2490.148689,1.514816154,3.723329689,4.802486425,1589.770285,0.06708567,0.255550177,0.998278881,0,26.69127584,2089.120446,14198.44725,1.54019491,3.701435007,4.787768078,1590.205373,0.270460896,1.013293247,0.998289491,1.27E-04,2084.7778,2488.8857,0.039237292,0.6,17.32980395,265,2.524693589,1,1.016753688,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),26.69127584,HM,SE | AICc,2,2,0.6,0.6,0.036857707,2,0.5,1,0.05,0.039,60,CH4,20240613_CH4
29,CG2_C_NEE_13jun,-0.757522972,2001.065615,1995.5283,-0.043600908,0.110787981,0.137278163,-138.9091699,0.005750563,-0.7591272,0.992734077,7.90E-137,-0.766057379,2001.076094,1761.420826,-0.044092125,0.111343466,0.138009637,-135.4170636,0.023252967,-3.035407982,0.992657044,1.84E-04,2001.0474,1995.6552,0.08144071,0.6,17.37401821,128,0.07266818,1,1.011266202,NA,NA,-0.766057379,HM,AICc,1,3,0.6,0.6,0.053033009,2,0.5,1,0.05,0.081,60,CH4,20240613_CH4
30,CG2_C_RE_13jun,-0.498040075,1999.556165,1991.641171,-0.028677515,0.241904448,0.292469088,111.0943086,0.003830453,-0.769105286,0.98393529,5.97E-249,-0.733542215,2000.128481,1985.690401,-0.042237902,0.134543464,0.172158936,-180.433793,0.01203989,-1.641335663,0.99443363,0.002925451,2000.2444,1991.819,0.037617874,0.6,17.36691867,277,0.047795859,1,1.472857811,NA,NA,-0.733542215,HM,NA,0,4,0.6,0.6,0.036050506,2,0.5,1,0.05,0.038,60,CH4,20240613_CH4
31,CG2_F_NEE_13jun,3.116337033,2008.484092,2058.619793,0.179697853,1.116864868,1.350925862,969.1350367,0.017383852,0.557829651,0.991392706,2.58E-289,4.353641361,2005.401547,2106.508628,0.251044735,0.268086085,0.335764411,191.5975406,0.022170086,0.509230868,0.999468292,0.002482959,2005.7794,2056.2996,0.03716163,0.6,17.34209386,280,0.299496422,1,1.397038034,NA,Noise (LM.RMSE) | Noise (LM.MAE),4.353641361,HM,NA,0,4,0.6,0.6,0.035856858,2,0.5,1,0.05,0.037,60,CH4,20240613_CH4
32,CG2_F_RE_13jun,2.647491911,2010.188463,2053.961909,0.152520718,0.964681466,1.221280159,938.5352829,0.015077829,0.569513713,0.99077683,2.73E-293,3.655106329,2007.604798,2098.105946,0.210568894,0.496538808,0.586918308,518.5170269,0.036859344,1.008434234,0.997869876,0.002326699,2006.3365,2052.4016,0.036163009,0.6,17.35824446,288,0.254201197,1,1.380592067,NA,Noise (LM.RMSE) | Noise (LM.MAE),3.655106329,HM,NA,0,4,0.6,0.6,0.035355339,2,0.5,1,0.05,0.036,60,CH4,20240613_CH4
33,CG3_C_NEE_13jun,-0.82670465,2006.725935,1995.365112,-0.047534823,0.109397622,0.141564698,-251.2070603,0.0023035,-0.278636334,0.998147869,0,-0.838908783,2006.754052,1623.007427,-0.04823655,0.110344314,0.142913777,-244.5859084,0.009390169,-1.119331325,0.99811276,1.26E-04,2006.7054,1995.2906,0.043478896,0.6,17.39155839,240,0.079224705,1,1.014762385,NA,NA,-0.838908783,HM,AICc,1,3,0.6,0.6,0.038729833,2,0.5,1,0.05,0.043,60,CH4,20240613_CH4
34,CG3_C_RE_13jun,-0.6657566,2005.228209,1994.348108,-0.038310215,0.368855385,0.437108879,343.1637834,0.0054884,-0.824385337,0.981063252,5.03E-246,-1.047694197,2006.168428,1988.199789,-0.060288384,0.172146082,0.212868093,-64.89925239,0.015003837,-1.432081749,0.995508956,0.003355201,2006.1362,1995.0522,0.036585356,0.6,17.37804414,285,0.063850358,1,1.573689538,NA,NA,-1.047694197,HM,NA,0,4,0.6,0.6,0.035540933,2,0.5,1,0.05,0.037,60,CH4,20240613_CH4
35,CG3_F_NEE_13jun,8.145698138,2040.428451,2150.071104,0.468558346,1.159605828,1.384762994,826.0036374,0.023248172,0.28540429,0.998097549,3.48E-293,9.539003091,2037.415389,2437.410492,0.54870429,0.342775798,0.41601364,262.8675249,0.031384439,0.329011734,0.999828297,0.001371778,2036.5812,2147.5122,0.044386206,0.6,17.38459725,235,0.780930577,1,1.171047948,NA,Noise (LM.RMSE) | Noise (LM.MAE),9.539003091,HM,NA,0,4,0.6,0.6,0.039139684,2,0.5,1,0.05,0.044,60,CH4,20240613_CH4
36,CG3_F_RE_13jun,8.045152639,2046.734389,2168.414868,0.462663421,1.24744007,1.467860834,957.9414877,0.020691557,0.25719284,0.998263313,0,9.258907738,2043.772479,2534.940391,0.532464469,0.506271085,0.663989709,541.1439898,0.041524564,0.448482322,0.999644635,0.001084078,2043.759,2165.3274,0.039519956,0.6,17.38878043,264,0.771105702,1,1.150867877,Noise (HM.RMSE),Noise (LM.RMSE) | Noise (LM.MAE),9.258907738,HM,NA,0,4,0.6,0.6,0.036927447,2,0.5,1,0.05,0.04,60,CH4,20240613_CH4
